Sudah berapa lama anda memulai untuk belajar koding? (Bulan),Berapa tingkat pemahaman anda tentang konsep dasar pemrograman seperti variabel ? (1-10),Untuk memecahkan masalah terhadap bug di sebuah program yang anda buat kemana anda mencari solusi?,Seberapa kompleks tugas kuliah yang pernah anda buat menggunakan koding ?,Peran internet bagi anda dalam  meningkatkan pemahaman mengenai koding? (1-10),Apakah anda merasa ada aspek tertentu dari koding yang masih sulit dipahami bagi anda? jika ya tolong sebutkan,Bagaimana tingkat pemahaman anda tentang konsep dasar pemrograman loop ?(1-10),Bagaimana tingkat pemahaman anda tentang konsep dasar pemrograman kondisi ? (1-10),Berapa tingkat pemahaman anda tentang konsep dasar pemrograman fungsi ?  (1-10),Semester Berapa Anda Saat Ini ?,Berapa tingkat ketertarikan anda untuk mengembangkan karir di bidang pemrograman? (1-10),"Apakah Anda memiliki sumber daya untuk belajar pemrograman, seperti buku, tutorial online, atau komunitas programmer? Ya = 1,Tidak = 0",Berapa tingkat pemahaman anda dalam membaca dan memahami kode yang ditulis orang lain? (1-10),Berapa lama rata-rata anda koding per-minggu? (jam),Setelah mempelajari koding dalam kurun waktu tertentu seberapa paham anda dengan koding ? 0 = tidak paham 1 = paham
6,8,1,1,8,2,8,8,8,4,6,1,4,5,1
12,5,2,1,8,2,3,3,3,4,6,1,4,5,0
12,7,4,3,8,0,5,8,8,4,8,1,8,6,1
6,4,4,3,4,2,3,3,5,2,3,1,7,5,0
5,6,5,2,10,2,8,6,7,4,8,1,7,8,1
5,4,3,3,8,2,5,4,5,3,4,1,8,5,0
5,2,2,2,5,2,4,4,7,4,8,1,7,5,1
24,5,4,2,6,2,6,8,8,4,7,1,6,24,1
2,5,2,2,5,3,8,10,1,6,8,1,6,7,0
24,9,4,3,10,3,9,9,10,6,10,1,8,12,1
10,7,1,2,10,0,7,8,8,4,10,1,7,30,1
6,5,2,1,7,0,7,3,5,8,4,1,7,5,1
4,4,1,3,7,2,4,5,1,8,8,1,7,7,0
24,6,2,2,6,2,5,7,5,4,7,1,4,4,0
12,4,1,1,7,3,4,6,4,2,7,1,5,7,1
9,8,2,1,9,2,7,6,8,2,8,1,7,5,1
10,1,1,2,1,3,4,9,5,6,1,1,9,7,0
18,9,4,3,8,0,9,8,9,4,8,1,9,40,1
12,4,2,1,5,2,6,6,6,2,5,1,8,6,1
6,5,4,3,6,3,6,7,5,10,1,1,4,8,1
12,3,1,1,9,1,2,3,5,12,4,1,4,1,0
7,2,4,2,5,1,6,6,8,12,1,1,9,15,1
36,7,2,3,8,0,7,9,7,6,8,1,8,10,1
18,8,2,3,10,0,10,10,10,4,9,1,9,20,1
36,8,2,3,8,0,8,8,8,8,10,1,9,12,1
6,3,1,1,9,1,4,4,4,6,4,1,3,6,0
24,6,2,2,6,0,5,7,7,4,6,1,5,9,1
6,4,3,2,9,3,4,3,4,10,1,1,8,8,1
24,9,4,2,8,3,9,8,9,8,7,1,7,7,1
3,4,4,2,5,1,4,5,6,2,3,1,8,5,0
10,1,4,3,7,0,1,7,4,14,2,0,8,19,1
24,8,2,2,7,2,6,7,8,6,9,1,8,10,0
6,2,1,1,6,3,2,3,2,1,8,1,3,5,0
8,8,4,3,7,1,8,8,8,4,8,1,7,7,1
7,4,1,1,7,1,4,4,4,10,3,1,2,2,0
13,5,4,2,6,1,10,10,9,4,10,1,8,5,1
9,6,1,2,6,3,5,4,3,6,6,1,3,8,0
8,7,4,2,8,3,5,7,6,2,8,1,8,8,1
5,1,2,2,6,2,6,3,7,3,3,1,5,5,1
13,7,5,2,7,3,7,6,8,4,6,1,6,5,0
12,7,3,2,7,2,6,2,5,2,5,1,4,8,0
30,7,2,3,7,3,7,6,7,8,9,1,8,6,1
9,5,1,1,6,2,4,4,5,6,1,1,3,8,0
4,4,1,2,1,3,4,4,5,1,3,1,1,4,0
6,3,4,1,4,0,6,9,7,4,6,1,6,5,1
30,7,1,2,9,3,6,6,5,6,5,1,5,12,1
20,7,1,3,8,3,7,7,7,6,6,1,6,8,1
9,9,4,3,9,3,8,8,8,2,6,1,6,10,1
24,6,4,3,8,2,8,7,8,4,9,1,9,10,1
6,2,1,1,6,1,2,3,3,2,3,0,2,4,0
6,3,1,1,7,1,6,7,2,6,3,0,1,3,1
20,7,2,2,7,0,7,6,6,4,8,1,7,6,1
6,5,2,2,8,1,8,7,7,6,6,1,5,7,0
48,6,2,3,7,3,4,6,3,8,8,0,4,8,0
24,8,4,2,6,1,9,6,7,4,8,1,5,8,1
24,6,1,2,9,3,6,7,6,4,8,1,5,7,1
5,2,1,1,3,4,2,2,1,14,2,0,3,1,0
18,4,2,2,7,2,6,3,4,3,6,0,2,4,0
8,2,4,1,3,1,2,2,2,6,2,1,3,1,0
30,6,2,3,9,0,6,7,7,6,10,1,8,4,1
36,7,2,3,4,0,8,9,9,4,10,0,9,21,1
18,5,2,2,5,3,6,5,5,4,3,1,6,8,1
7,3,5,2,7,3,2,8,1,5,6,1,7,7,1
7,2,5,2,6,3,4,6,3,6,7,1,5,8,1
9,4,5,1,7,3,6,6,3,7,7,1,7,8,1
9,7,5,2,8,3,2,8,5,7,8,0,7,8,1
12,6,2,2,6,2,5,6,7,4,7,1,7,8,1
1,1,1,1,5,2,1,1,1,6,1,0,1,1,0
24,7,5,2,10,3,7,8,7,4,9,1,8,14,1
19,7,4,1,9,2,6,7,8,6,3,1,6,8,1
60,10,2,3,10,0,10,10,10,3,10,1,10,40,1
17,10,4,3,9,0,9,10,10,10,10,1,10,11,1
100,3,3,1,3,3,3,5,2,19,3,0,2,1,0
