,,,,Sudah berapa lama anda memulai untuk belajar koding? (Bulan),Berapa tingkat pemahaman anda tentang konsep dasar pemrograman seperti variabel ? (1-10),,Seberapa kompleks tugas kuliah yang pernah anda buat menggunakan koding ?,Peran internet bagi anda dalam  meningkatkan pemahaman mengenai koding? (1-10),,Bagaimana tingkat pemahaman anda tentang konsep dasar pemrograman loop ?(1-10),Bagaimana tingkat pemahaman anda tentang konsep dasar pemrograman kondisi ? (1-10),Berapa tingkat pemahaman anda tentang konsep dasar pemrograman fungsi ?  (1-10),Semester Berapa Anda Saat Ini ?,"Setelah mempelajari koding dalam kurun waktu tertentu seberapa paham anda dengan koding ?
0 = tidak paham
1 = paham",Berapa tingkat ketertarikan anda untuk mengembangkan karir di bidang pemrograman? (1-10),,Berapa tingkat pemahaman anda dalam membaca dan memahami kode yang ditulis orang lain? (1-10),Berapa lama rata-rata anda koding per-minggu? (jam)
,,,,6,8,,1,8,,8,8,8,4,1,6,,4,5
,,,,12,5,,1,8,,3,3,3,4,0,6,,4,5
,,,,12,7,,3,8,,5,8,8,4,1,8,,8,6
,,,,6,4,,3,4,,3,3,5,2,0,3,,7,5
,,,,5,6,,2,10,,8,6,7,4,1,8,,7,8
,,,,5,4,,3,8,,5,4,5,3,0,4,,8,5
,,,,5,2,,2,5,,4,4,7,4,1,8,,7,5
,,,,24,5,,2,6,,6,8,8,4,1,7,,6,24
,,,,2,5,,2,5,,8,10,1,6,0,8,,6,7
,,,,24,9,,3,10,,9,9,10,6,1,10,,8,12
,,,,10,7,,2,10,,7,8,8,4,1,10,,7,30
,,,,6,5,,1,7,,7,3,5,8,1,4,,7,5
,,,,4,4,,3,7,,4,5,1,8,0,8,,7,7
,,,,24,6,,2,6,,5,7,5,4,0,7,,4,4
,,,,12,4,,1,7,,4,6,4,2,1,7,,5,7
,,,,9,8,,1,9,,7,6,8,2,1,8,,7,5
,,,,10,1,,2,1,,4,9,5,6,0,1,,9,7
,,,,18,9,,3,8,,9,8,9,4,1,8,,9,40
,,,,12,4,,1,5,,6,6,6,2,1,5,,8,6
,,,,6,5,,3,6,,6,7,5,10,1,1,,4,8
,,,,12,3,,1,9,,2,3,5,12,0,4,,4,1
,,,,7,2,,2,5,,6,6,8,12,1,1,,9,15
,,,,36,7,,3,8,,7,9,7,6,1,8,,8,10
,,,,18,8,,3,10,,10,10,10,4,1,9,,9,20
,,,,36,8,,3,8,,8,8,8,8,1,10,,9,12
,,,,6,3,,1,9,,4,4,4,6,0,4,,3,6
,,,,24,6,,2,6,,5,7,7,4,1,6,,5,9
,,,,6,4,,2,9,,4,3,4,10,1,1,,8,8
,,,,24,9,,2,8,,9,8,9,8,1,7,,7,7
,,,,3,4,,2,5,,4,5,6,2,0,3,,8,5
,,,,10,1,,3,7,,1,7,4,14,1,2,,8,19
,,,,24,8,,2,7,,6,7,8,6,0,9,,8,10
,,,,6,2,,1,6,,2,3,2,1,0,8,,3,5
,,,,8,8,,3,7,,8,8,8,4,1,8,,7,7
,,,,7,4,,1,7,,4,4,4,10,0,3,,2,2
,,,,13,5,,2,6,,10,10,9,4,1,10,,8,5
,,,,9,6,,2,6,,5,4,3,6,0,6,,3,8
,,,,8,7,,2,8,,5,7,6,2,1,8,,8,8
,,,,5,1,,2,6,,6,3,7,3,1,3,,5,5
,,,,13,7,,2,7,,7,6,8,4,0,6,,6,5
,,,,12,7,,2,7,,6,2,5,2,0,5,,4,8
,,,,30,7,,3,7,,7,6,7,8,1,9,,8,6
,,,,9,5,,1,6,,4,4,5,6,0,1,,3,8
,,,,4,4,,2,1,,4,4,5,1,0,3,,1,4
,,,,6,3,,1,4,,6,9,7,4,1,6,,6,5
,,,,30,7,,2,9,,6,6,5,6,1,5,,5,12
,,,,20,7,,3,8,,7,7,7,6,1,6,,6,8
,,,,9,9,,3,9,,8,8,8,2,1,6,,6,10
,,,,24,6,,3,8,,8,7,8,4,1,9,,9,10
,,,,6,2,,1,6,,2,3,3,2,0,3,,2,4
,,,,6,3,,1,7,,6,7,2,6,1,3,,1,3
,,,,20,7,,2,7,,7,6,6,4,1,8,,7,6
,,,,6,5,,2,8,,8,7,7,6,0,6,,5,7
,,,,48,6,,3,7,,4,6,3,8,0,8,,4,8
,,,,24,8,,2,6,,9,6,7,4,1,8,,5,8
,,,,24,6,,2,9,,6,7,6,4,1,8,,5,7
,,,,5,2,,1,3,,2,2,1,14,0,2,,3,1
,,,,18,4,,2,7,,6,3,4,3,0,6,,2,4
,,,,8,2,,1,3,,2,2,2,6,0,2,,3,1
,,,,30,6,,3,9,,6,7,7,6,1,10,,8,4
,,,,36,7,,3,4,,8,9,9,4,1,10,,9,21
,,,,18,5,,2,5,,6,5,5,4,1,3,,6,8
,,,,7,3,,2,7,,2,8,1,5,1,6,,7,7
,,,,7,2,,2,6,,4,6,3,6,1,7,,5,8
,,,,9,4,,1,7,,6,6,3,7,1,7,,7,8
,,,,9,7,,2,8,,2,8,5,7,1,8,,7,8
,,,,12,6,,2,6,,5,6,7,4,1,7,,7,8
,,,,1,1,,1,5,,1,1,1,6,0,1,,1,1
,,,,24,7,,2,10,,7,8,7,4,1,9,,8,14
,,,,19,7,,1,9,,6,7,8,6,1,3,,6,8 jam
,,,,60,10,,3,10,,10,10,10,3,1,10,,10,40
,,,,17,10,,3,9,,9,10,10,10,1,10,,10,11
,,,,100,3,,1,3,,3,5,2,19,0,3,,2,1
